CATEGORY_CODE,CATEGORY_NAME,CREATE_DATE,LAST_MODIFIED_DATE
01,Dinnerware,00000000,00000000
0101,Select China,00000000,00000000
010101,Rego,00000000,00000000
01010102,Bright White,00000000,00000000
01010106,Nottingham,00000000,00000000
01010107,White,00000000,00000000
01010126,Other Rego,00000000,00000000
010102,Homer Laughlin,00000000,00000000
01010201,White Rolled Edge,00000000,00000000
01010202,White Narrow Rim,00000000,00000000
01010203,White Coupe,00000000,00000000
01010204,White Princess,00000000,00000000
01010205,Black Princess,00000000,00000000
01010206,Oriental Princess,00000000,00000000
01010207,Greenland,00000000,00000000
01010208,Accessories,00000000,00000000
01010209,Other CupsMugs,00000000,00000000
01010210,Seconds,00000000,00000000
01010211,Blue Speck,00000000,00000000
01010212,Carolyn,00000000,00000000
01010213,Fiesta,00000000,00000000
01010214,Foxfern,00000000,00000000
01010215,Nadia,00000000,00000000
01010216,Terrace,00000000,00000000
01010217,Gala,00000000,00000000
01010218,Blue Band,00000000,00000000
01010226,Other Homer Laughlin,00000000,00000000
010103,BuffaloOneida,00000000,00000000
01010301,White Undecorated,00000000,00000000
01010302,Manhattan Black,00000000,00000000
01010303,Manhattan Gold,00000000,00000000
01010304,Coupe,00000000,00000000
01010305,Blu Ridge,00000000,00000000
01010306,Dunes,00000000,00000000
01010399,Other BuffaloOneida,00000000,00000000
010104,Don,00000000,00000000
01010401,White Rolled Edge,00000000,00000000
01010402,White Narrow Rim,00000000,00000000
01010403,White Coupe,00000000,00000000
01010404,Desert Mist,00000000,00000000
01010405,Lakeview,00000000,00000000
01010406,Lincoln Square,00000000,00000000
01010407,Wicker Park,00000000,00000000
01010423,Bright White,00000000,00000000
01010424,Cream White,00000000,00000000
01010426,Other Don,00000000,00000000
010105,Hall,00000000,00000000
01010501,Foundry,00000000,00000000
01010599,All Hall,00000000,00000000
010106,Corning,00000000,00000000
01010601,Comcor White,00000000,00000000
01010602,Comcor Stratus,00000000,00000000
01010604,Comcor Brisas,00000000,00000000
01010626,Other Corning,00000000,00000000
010107,World,00000000,00000000
01010701,Princess White,00000000,00000000
01010702,Montego Bay,00000000,00000000
01010703,Porcelana,00000000,00000000
01010704,Chefs Selection,00000000,00000000
01010705,Narrow RimIsland Green,00000000,00000000
01010706,Slate,00000000,00000000
01010707,Desert Sand,00000000,00000000
01010708,Infinity,00000000,00000000
01010709,Endurance,00000000,00000000
01010710,Wellington,00000000,00000000
01010711,Basics Orbis,00000000,00000000
01010712,Neptune,00000000,00000000
01010713,Viceroy,00000000,00000000
01010714,Basics,00000000,00000000
01010715,Empire,00000000,00000000
01010716,Kingsman White,00000000,00000000
01010717,Sandstone,00000000,00000000
01010718,Pebblebrook,00000000,00000000
01010719,Driftstone,00000000,00000000
01010720,Stonewash,00000000,00000000
01010721,Hedonite,00000000,00000000
01010722,Dulcet,00000000,00000000
01010723,Farmhouse,00000000,00000000
01010724,Englewood,00000000,00000000
01010725,Bright White,00000000,00000000
01010726,Cream White,00000000,00000000
01010799,Other World,00000000,00000000
010108,Delco,00000000,00000000
01010801,Other Delco,00000000,00000000
01010802,Arcadia,00000000,00000000
010109,Syracuse,00000000,00000000
01010901,Undecorated White,00000000,00000000
01010902,Terracotta,00000000,00000000
01010903,Flint Mix & Match Accessories,00000000,00000000
01010904,Royal Rideau Mix & Match Accessories,00000000,00000000
01010905,Allure,00000000,00000000
01010999,Other Syracuse,00000000,00000000
010110,Tradeco,00000000,00000000
01011001,Celebration,00000000,00000000
01011099,Other Tradeco,00000000,00000000
010111,Steelite-Anfora,00000000,00000000
01011101,Rolled Edge,00000000,00000000
01011102,Capri,00000000,00000000
01011103,Narrow Rim,00000000,00000000
01011104,Other Steelite-Anfora,00000000,00000000
01011105,Buffet,00000000,00000000
01011106,Festivale,00000000,00000000
01011107,Tiffany,00000000,00000000
01011108,Denali Gray,00000000,00000000
01011109,TavolaSedona,00000000,00000000
01011110,Puebla,00000000,00000000
010112,Tuxton,00000000,00000000
01011201,Reno,00000000,00000000
01011202,Nevada,00000000,00000000
01011203,Specialty Items,00000000,00000000
01011204,Daytona,00000000,00000000
01011205,Monterey,00000000,00000000
01011206,Alaska,00000000,00000000
01011207,Squares,00000000,00000000
01011208,Concentrix,00000000,00000000
01011209,Meridian,00000000,00000000
01011210,Colorado,00000000,00000000
01011211,Sonoma,00000000,00000000
01011212,Modena,00000000,00000000
01011213,Duratux,00000000,00000000
01011214,Artisan Geode,00000000,00000000
01011215,Charleston,00000000,00000000
01011216,Zion,00000000,00000000
01011299,Other Tuxton,00000000,00000000
010113,Vertex,00000000,00000000
01011301,Bunkingham WRRE,00000000,00000000
01011302,Vista Collection,00000000,00000000
01011303,Porcelain Collection,00000000,00000000
01011304,Del Mar Green WR RE,00000000,00000000
01011305,Ventana Collection,00000000,00000000
01011306,Contour Collection,00000000,00000000
01011307,Catalina,00000000,00000000
01011308,Euro Collection Alpine,00000000,00000000
01011309,Argyle & Catalina Collection,00000000,00000000
01011310,Brown Accessories,00000000,00000000
01011311,Rubicon,00000000,00000000
01011312,Radiance Collection,00000000,00000000
01011313,Sausalito Collection,00000000,00000000
01011314,London Collection,00000000,00000000
01011315,Market Buffet Collection,00000000,00000000
01011316,Royal Narrow Rim,00000000,00000000
01011317,Sausalito Oriental Style,00000000,00000000
01011318,Crystal Bay Collection,00000000,00000000
01011319,Signature Collection,00000000,00000000
01011320,Elements,00000000,00000000
01011321,Obsidian,00000000,00000000
01011322,Orbit,00000000,00000000
01011399,Other Vertex,00000000,00000000
010114,Crestware,00000000,00000000
01011401,Bay Pointe,00000000,00000000
01011402,Classic,00000000,00000000
01011499,Other Crestware,00000000,00000000
010115,Fortessa,00000000,00000000
01011501,Accessories,00000000,00000000
010116,Imco,00000000,00000000
01011601,Lakeview,00000000,00000000
01011699,Other Imco,00000000,00000000
010117,Front of the House,00000000,00000000
01011701,Porcelain,00000000,00000000
01011702,Spiral,00000000,00000000
01011703,Mod,00000000,00000000
01011704,Ellipse,00000000,00000000
01011705,Canvas,00000000,00000000
01011706,Monaco,00000000,00000000
01011707,Kyoto,00000000,00000000
01011708,Porcelain Accessories,00000000,00000000
01011709,Harmony,00000000,00000000
01011710,Trillium,00000000,00000000
01011711,Origami,00000000,00000000
01011712,Glass Glazed,00000000,00000000
01011713,Palm,00000000,00000000
01011714,Euro,00000000,00000000
01011715,Tides,00000000,00000000
01011716,Tides White,00000000,00000000
01011717,Artefact,00000000,00000000
01011718,Kiln,00000000,00000000
01011719,Soho,00000000,00000000
01011720,Catalyst,00000000,00000000
01011799,Other Front of the House,00000000,00000000
010118,Cameo,00000000,00000000
01011801,Imperial,00000000,00000000
01011802,Dynasty,00000000,00000000
01011803,Fusion,00000000,00000000
01011899,Other Cameo,00000000,00000000
010119,Blackwood Industries,00000000,00000000
01011901,Undecorated,00000000,00000000
010120,International Tableware,00000000,00000000
01012001,Cancun,00000000,00000000
01012002,Savannah,00000000,00000000
01012003,Chefs Palette,00000000,00000000
01012004,Vale,00000000,00000000
01012005,Luna,00000000,00000000
01012006,Dresden,00000000,00000000
01012024,Stone Haven,00000000,00000000
01012099,Other International Tableware,00000000,00000000
010121,Turgla,00000000,00000000
01012101,Lizbon,00000000,00000000
01012102,Delta,00000000,00000000
01012103,Delta Coupe,00000000,00000000
01012104,X-Tanbul,00000000,00000000
01012105,Bonna,00000000,00000000
01012106,Patera,00000000,00000000
01012199,Other Turgla,00000000,00000000
010122,Diversified,00000000,00000000
01012201,Pasta Bowls,00000000,00000000
010123,Degrenne,00000000,00000000
01012301,Modulo,00000000,00000000
01012302,Boreal,00000000,00000000
01012303,Other Degrenne,00000000,00000000
010124,MCIC,00000000,00000000
01012401,Linea,00000000,00000000
010125,Proprietary Select China,00000000,00000000
01012501,Vic & AnthonysHomer,00000000,00000000
01012525,Other Proprietary Select China,00000000,00000000
010126,Other Select China,00000000,00000000
01012626,Select China,00000000,00000000
010127,Costa Nova,00000000,00000000
01012701,Riviera,00000000,00000000
01012702,Pearl,00000000,00000000
01012703,Lagoa,00000000,00000000
01012704,Friso,00000000,00000000
01012705,Notos,00000000,00000000
01012706,Roda,00000000,00000000
010128,CAC China,00000000,00000000
01012801,Seville,00000000,00000000
01012802,Greenbrier,00000000,00000000
01012899,Other CAC China,00000000,00000000
010129,Yanco China,00000000,00000000
01012901,Diamond Black,00000000,00000000
01012902,Lyon,00000000,00000000
01012903,Rockeye,00000000,00000000
01012999,Other Yanco China,00000000,00000000
0102,Superior China,00000000,00000000
010201,Rego,00000000,00000000
01020101,Killington Undecorated,00000000,00000000
01020102,Bel Tygere,00000000,00000000
01020103,Hickory,00000000,00000000
01020105,Troy Undecorated,00000000,00000000
01020106,Troy Grey Band,00000000,00000000
01020107,Killington Green Band,00000000,00000000
01020108,Briana,00000000,00000000
01020126,Other Rego,00000000,00000000
010202,Homer Laughlin,00000000,00000000
01020201,Lyrica Undecorated,00000000,00000000
01020202,Gothic Undecorated,00000000,00000000
01020203,Seville Blanc,00000000,00000000
01020204,Fiesta,00000000,00000000
01020205,LydiaLyrica Banded,00000000,00000000
01020206,Diplomat,00000000,00000000
01020207,Seville Flore,00000000,00000000
01020208,Fabrique,00000000,00000000
01020209,Seville Premier,00000000,00000000
01020210,Checkers,00000000,00000000
01020211,Riviera Collection,00000000,00000000
01020212,Durathin,00000000,00000000
01020213,Royal Iris,00000000,00000000
01020214,Stripes,00000000,00000000
01020215,Damons,00000000,00000000
01020216,Pink Sage,00000000,00000000
01020217,LydiaGothic Banded,00000000,00000000
01020218,Anniversary,00000000,00000000
01020219,Settings,00000000,00000000
